,Restaurant,Cusines_all,price_for_one,Rating,delivery_review_number,location,Longitude,Latitude
26982,Mealful Rolls - India's Biggest Rolls, Desserts,200,3.9,835,Rajajinagar,77.554883,12.9882338
26983,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.0,21,Electronic City,77.64825296,12.8487599
26984,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.2,820,New BEL Road,77.564105,13.0393922
26985,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.2,498,BTM,77.60456543,12.91127585
26986,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.1,338,Whitefield,77.7497448,12.9696365
26987,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.2,625,Old Airport Road,77.6663946,12.9583828
26988,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.3,304,HSR,77.6398674,12.9092342
26989,Wokanaka - The Casual Chinese Pitstop, Thai,450,0.0,0,Whitefield,77.7497448,12.9696365
26990,Wokanaka - The Casual Chinese Pitstop, Thai,450,4.0,5063,Kalyan Nagar,77.6403368,13.0221416
26991,Adda - The Restaurant, Biryani,225,3.7,1976,Bommanahalli,77.6239038,12.9089453
27011,Bramishree Nandi Grand, Street Food,175,4.4,599,Vijay Nagar,77.61250656,12.96591365
27012,CakeWalk, Beverages,350,4.5,120,Indiranagar,77.6404672,12.9732913
27016,Vera Italiano, Pizza,600,4.1,1118,Kalyan Nagar,77.6403368,13.0221416
27017,Vaigai Vilas, South Indian,225,3.4,425,BTM,77.60456543,12.91127585
27018,Vaigai Vilas, South Indian,225,3.4,9111,Whitefield,77.7497448,12.9696365
27019,Pizza Hut, Beverages,300,3.9,1013,JP Nagar,77.5782713,12.9072515
27020,Pizza Hut, Beverages,300,3.9,4195,Bannerghatta Road,77.6041899,12.9521804
27021,Pizza Hut, Beverages,300,3.3,7413,Ascendas Park Square,77.6398674,12.9092342
27022,Pizza Hut, Beverages,300,3.8,3472,Basavanagudi,77.5755021,12.9417261
27023,Pizza Hut, Beverages,300,3.6,2104,MG Road,77.6067902,12.9755264
27024,Pizza Hut, Beverages,300,3.9,4214,Banashankari,77.59445195,12.96528325
27025,Pizza Hut, Beverages,300,3.7,9295,Electronic City,77.64825296,12.8487599
27026,Pizza Hut, Beverages,300,3.7,4882,Kalyan Nagar,77.6403368,13.0221416
27027,Pizza Hut, Beverages,300,3.6,1981,HSR,77.6398674,12.9092342
27028,Pizza Hut, Beverages,300,3.2,860,Bangalore Central,77.5782713,12.9072515
27029,Pizza Hut, Beverages,300,3.6,8552,Koramangala 6th Block,77.6238477,12.9390255
27030,Pizza Hut, Beverages,300,3.6,6231,Old Airport Road,77.6663946,12.9583828
27031,Pizza Hut, Beverages,300,3.8,923,Rajajinagar,77.554883,12.9882338
27032,Pizza Hut, Beverages,300,3.5,7653,Marathahalli,77.6984163,12.9552572
27033,Pizza Hut, Beverages,300,3.4,1496,Jayanagar,77.5824229,12.9292731
27034,Pizza Hut, Beverages,300,3.5,2877,Nexus,77.5753419,12.9931876
27035,Pizza Hut, Beverages,300,3.8,3788,BTM,77.60456543,12.91127585
27036,Pizza Hut, Beverages,300,3.4,3103,Mantri Square,77.6068229,12.9662452
27037,Pizza Hut, Beverages,300,3.5,737,Bellandur,77.6782471,12.93103185
27038,Pizza Hut, Beverages,300,3.9,4318,Shanti Nagar,77.5979099,12.9575547
27039,Pizza Hut, Beverages,300,3.7,5975,Indiranagar,77.6404672,12.9732913
27040,Pizza Hut, Beverages,300,3.8,1927,New BEL Road,77.564105,13.0393922
27041,Pizza Hut, Beverages,200,0.0,0,Bommanahalli,77.6239038,12.9089453
27042,Platform.65, South Indian,550,3.4,40,Bannerghatta Road,77.6041899,12.9521804
27043,Earthen Delicacies, Beverages,350,4.0,1496,Jakkur,77.6068938,13.0784743
27044,Anjappar, Seafood,400,4.0,1298,Brigade Road,77.6074716,12.9736132
27045,Anjappar, Seafood,400,3.7,4047,HSR,77.6398674,12.9092342
27046,Anjappar, Seafood,400,4.1,6300,Koramangala 4th Block,77.6294052,12.9327778
27047,Anjappar, Seafood,400,4.0,3501,Marathahalli,77.6984163,12.9552572
27048,Anjappar, Seafood,400,4.0,3282,Indiranagar,77.6404672,12.9732913
27049,Anjappar, Seafood,200,3.8,3160,Kalyan Nagar,77.6403368,13.0221416
27050,Anjappar, Seafood,200,3.8,3039,Electronic City,77.64825296,12.8487599
27051,New Friends, Steak,450,4.3,639,BTM,77.60456543,12.91127585
27052,Stonelicious, Shake,150,4.3,4360,Marathahalli,77.6984163,12.9552572
27053,Stonelicious, Shake,150,4.1,562,Old Madras Road,77.6962756,13.0086263
27062,Bangalore Kabab Centre, Rolls,100,3.9,80,RT Nagar,77.595715,13.0227204
27063,Udupi Upahar, Desserts,200,4.1,3202,Kanakapura Road,77.5449181,12.8773096
27064,Udupi Upahar, Desserts,200,4.0,996,Bommanahalli,77.6239038,12.9089453
27065,Udupi Upahar, Desserts,175,4.0,3205,Kanakapura Road,77.5449181,12.8773096
27066,Udupi Upahar, Desserts,50,4.1,267,Bannerghatta Road,77.6041899,12.9521804
27067,Time Traveller - Sai Vishram, Chinese,700,4.4,1206,Electronic City,77.64825296,12.8487599
27089,Moriz Nano Restaurant, Mughlai,400,3.7,1183,Ulsoor,77.6246697,12.9778793
27090,Armani Kitchen, Lebanese,150,4.1,513,RT Nagar,77.595715,13.0227204
