,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
239099,Baf's Cafe, Desserts,250,226,"basaveshwara nagar, bangalore"
239196,Social Delivery, Pizza,250,414,"bommanahalli, bangalore"
239296,Sanju's Super Kitchen, Sichuan,200,884,"kammanahalli, bangalore"
239426,The Pump House,,1000,239,"jp nagar, bangalore"
239446,Srinidhi Sagar, Sichuan,200,3181,"sahakara nagar, bangalore"
239447,Srinidhi Sagar, Sichuan,150,3181,"sahakara nagar, bangalore"
239468,Dilli Darbar,,400,12500,"survey 166, whitefield, bangalore"
239499,What the Ale?!, Desserts,700,348,"electronic city, bangalore"
239531,Sarjapur Social, Pizza,750,2187,"sarjapur road, bangalore"
239532,Royal Indraprastha,,375,11300,"rajarajeshwari nagar, bangalore"
239621,Drip The Cafe Bar, Desserts,150,871,"kr puram, bangalore"
239715,Bhagathram Sweets,,225,292,"ulsoor, bangalore"
239716,Bhagathram Sweets,,150,292,"ulsoor, bangalore"
239775,Shiv Sagar, Beverages,200,241,"banaswadi, bangalore"
239786,Hyderabad Biryani Zone, Kebab,300,541,"rammurthy nagar, bangalore"
239812,Lara Foods, Mughlai,300,143,"itpl main road, whitefield, bangalore"
239842,No. 10 Fort Cochin,,500,134,"indiranagar, bangalore"
239855,Imperial Restaurant, Desserts,350,7074,"indiranagar, bangalore"
239856,Imperial Restaurant, Desserts,400,7074,"indiranagar, bangalore"
239904,Brundavan Upachar, Ice Cream,100,462,"uttarahalli, bangalore"
240017,Indiranagar Social, Pasta,750,774,"indiranagar, bangalore"
240031,The Purple Pan, Desserts,500,15600,"rajajinagar, bangalore"
240054,The Flavours,,150,232,"electronic city, bangalore"
240055,Sandos N Grills, Pasta,250,214,"sanjay nagar, bangalore"
240056,Garhwali Tadka, Shake,300,1888,"electronic city, bangalore"
240068,Kallayi Restaurant, Beverages,300,1976,"kr puram, bangalore"
240121,New Gongura Grand, Biryani,400,11300,"hsr, bangalore"
240140,Phoenix Cafe, Beverages,150,30,"btm, bangalore"
240145,Empire Restaurant,,400,45800,"hsr, bangalore"
240155,Empire Restaurant,,100,45800,"hsr, bangalore"
240273,New Peacock Restaurant,,200,1717,"rt nagar, bangalore"
240305,Nava Durga Nellore Mess,,250,3722,"rammurthy nagar, bangalore"
240369,Krishna Cafe,,200,54,"jalahalli, bangalore"
240375,Ramji Chaiwale,,125,371,"residency road, bangalore"
240376,Udupi Paakagriha,,275,110,"hebbal, bangalore"
240429,Olive Bar & Kitchen, Beverages,1550,27,"richmond road, bangalore"
240593,Kolkata Kathi Rolls,,150,11700,"jp nagar, bangalore"
240613,Shalimar,,500,1159,"indiranagar, bangalore"
240615,Delhi Highway,,750,3785,"indiranagar, bangalore"
240652,Kamat Bugle Rock, Desserts,175,2252,"basavanagudi, bangalore"
240683,Lazeez,,300,4095,"koramangala 5th block, bangalore"
240702,Tuckshop Cafe, North Indian,125,543,"bommanahalli, bangalore"
240736,Chef Baker's, Desserts,200,578,"by the way, electronic city, bangalore"
240754,Sarangi,,175,2355,"hesaraghatta, bangalore"
240768,Dessert Crunch,,150,130,"kanakapura road, bangalore"
240769,Sri Mast Bangarpet Chats,,125,10,"new bel road, bangalore"
240826,Jubli Biryani, Sichuan,225,325,"itpl main road, whitefield, bangalore"
240827,Lassi Town, Ice Cream,100,44,"vijay nagar, bangalore"
240846,Onesta,,300,184,"ascendas park square, whitefield, bangalore"
240859,Lassi Adda, Street Food,100,8269,"electronic city, bangalore"
240875,Le Arabia Restaurant - Vijaya Nagar, Sichuan,250,1366,"vijay nagar, bangalore"
240923,Kolkata King, Beverages,100,1693,"basavanagudi, bangalore"
240942,Cafe Coco, Fast Food,275,205,"sanjay nagar, bangalore"
241012,Sagar Hotel, Juices,200,9815,"rajajinagar, bangalore"
241087,Gharoyana, Fast Food,150,1033,"whitefield, bangalore"
241170,Kamat Hotel, Beverages,200,441,"basavanagudi, bangalore"
241171,Parika Multicuisine & Coastal Fine Dine, South Indian,550,1161,"hsr, bangalore"
241173,Sri Brahmi Ruchi, Juices,150,378,"vijay nagar, bangalore"
241187,Infinitea Tea Room & Tea Store, Tea,650,629,"shivajinagar, bangalore"
241203,Chefkraft,,300,4094,"indiranagar, bangalore"
241218,Matru Sagar, Desserts,150,17500,"kalyan nagar, bangalore"
241219,Matru Sagar, Desserts,300,17500,"kalyan nagar, bangalore"
241230,La Fingerlickia, Desserts,200,1838,"bellandur, bangalore"
241231,Cilantro, Chinese,750,11,"koramangala 4th block, bangalore"
241242,Shaken & Stirred, Beverages,750,81,"race course road, bangalore"
241324,Pizzeria Locale,,350,563,"kalyan nagar, bangalore"
241348,Caraway Kitchen - Conrad Bengaluru,,1400,9,"conrad bengaluru, ulsoor, bangalore"
241349,India Chai Lounge,,200,47,"vasanth nagar, bangalore"
241358,Kannur Kitchen,,150,1001,"new bel road, bangalore"
241365,Sri Bhagya Sagar, Ice Cream,200,1083,"bommanahalli, bangalore"
241407,Spice Rack,,125,41,"bommanahalli, bangalore"
241441,M.M Zone And Cafe, Desserts,150,25,"frazer town, bangalore"
241535,South Spicy Bites Xpress, Sichuan,275,5229,"sahakara nagar, bangalore"
241619,Thunder Fried Chicken, Sichuan,250,2645,"jeevan bhima nagar, bangalore"
241655,Hotel Udupi Garden, Beverages,200,1954,"sanjay nagar, bangalore"
241698,Kentaky Fast Food,,175,313,"basaveshwara nagar, bangalore"
241732,Olive Grove, Beverages,425,345,"electronic city, bangalore"
241734,Imperio Restaurant, Juices,150,3349,"electronic city, bangalore"
241738,Imperio Restaurant, Juices,400,3349,"electronic city, bangalore"
241783,The Lassi Corner, North Indian,150,4712,"brookefield, bangalore"
241785,The Lassi Corner, North Indian,75,4712,"brookefield, bangalore"
241786,The Lassi Corner, North Indian,100,4712,"brookefield, bangalore"
241795,Panda Momos,,300,61,"jp nagar, bangalore"
241871,The Burger Hub, Beverages,150,212,"banaswadi, bangalore"
241977,The Coffee Brewery, Desserts,250,372,"kr puram, bangalore"
242005,The Big Barbeque, Kebab,750,1158,"marathahalli, bangalore"
242022,Royal County, Sichuan,275,474,"bommanahalli, bangalore"
242073,Softy Paradise,,150,7,"vijay nagar, bangalore"
242075,Royal Cripsy Burger, Shake,175,51,"rajajinagar, bangalore"
242111,Nomad Rolls & Shakes, Fast Food,125,434,"whitefield, bangalore"
242122,Udupi Utsav, Desserts,175,3687,"hebbal, bangalore"
242123,Udupi Utsav, Desserts,250,3687,"hebbal, bangalore"
242206,Golicious Mumbai Vada Pav,,150,99,"rt nagar, bangalore"
242294,Bunt's Biriyani Palace,,275,1699,"banashankari, bangalore"
242297,Chai Theory,,100,33,"new bel road, bangalore"
242302,Shoiab Family Restaurant,,400,732,"electronic city, bangalore"
242304,Sri Krishna Nanda Gokul Veg Restaurant, Shake,250,691,"banaswadi, bangalore"
242314,Priyadarshini Veg, Beverages,200,6598,"yeshwantpur, bangalore"
242340,Stories Bar & Kitchen, BBQ,750,612,"jp nagar, bangalore"
242355,New City Kitchen, Beverages,200,2843,"rammurthy nagar, bangalore"
242493,Biryani Chefs,,400,896,"banaswadi, bangalore"
242551,Chunkies - Fried Chicken & More,,200,94,"hbr layout, bangalore"
242582,D-Zaprino,,150,1408,"rajajinagar, bangalore"
242613,Great Indian Khichdi By EatFit,,150,604,"sarjapur road, bangalore"
242641,Rajathadri Palace, Desserts,350,3771,"uttarahalli, bangalore"
242849,Moriz Restaurant, Seafood,400,1274,"cv raman nagar, bangalore"
242852,Moriz Restaurant, Seafood,500,1274,"cv raman nagar, bangalore"
242900,South Grand, Desserts,200,3161,"uttarahalli, bangalore"
243003,Absolute Momo Cafe, Beverages,200,351,"kumaraswamy layout, bangalore"
243080,Fico, Desserts,250,196,"koramangala 4th block, bangalore"
243082,Pakka Mane Uta,,100,517,"whitefield, bangalore"
243185,Punjabi Tandoor, Desserts,350,7165,"kaggadasapura, bangalore"
243204,Burger & Beans,,300,229,"new bel road, bangalore"
243241,Rayalaseema Spices, Shawarma,350,196,"new bel road, bangalore"
243365,Juicy,,100,6982,"old airport road, bangalore"
243405,Aligarh House By Eatfit,,250,550,"rajajinagar, bangalore"
243454,The Momo's Point,,200,41,"electronic city, bangalore"
243478,Rathna Family Restaurant,,200,18,"electronic city, bangalore"
243665,Little White Kitchen, Shake,200,449,"brigade road, bangalore"
243674,The Only Place, Beverages,600,557,"church street, bangalore"
243701,Momos Mania,,100,2205,"koramangala 8th block, bangalore"
243702,Momos Mania,,150,2205,"koramangala 8th block, bangalore"
243865,Flavours Hut, Street Food,300,8423,"hsr, bangalore"
244038,Krishna Vaibhava,,250,953,"btm, bangalore"
244039,Krishna Vaibhava,,225,953,"btm, bangalore"
244040,Aahar Vihar, Sichuan,225,4868,"marathahalli, bangalore"
244192,New Kadai Family Restaurant, Beverages,450,385,"rt nagar, bangalore"
244193,Hyderabad Biryani,,400,3471,"whitefield, bangalore"
244197,Paakashala, Shake,125,1106,"mg road, bangalore"
244199,Paakashala, Shake,350,1106,"mg road, bangalore"
244201,Paakashala, Shake,200,1106,"mg road, bangalore"
244202,Paakashala, Shake,275,1106,"mg road, bangalore"
244204,Paakashala, Shake,100,1106,"mg road, bangalore"
244217,Kaati Rolls N Wraps Store, Sichuan,200,97,"electronic city, bangalore"
244219,Shanthi Sagar, Sandwich,350,23100,"jp nagar, bangalore"
