Restaurant,Cusines_all,price_for_one,delivery_review_number,location
The Baker's Dozen,Bakery,150,426,"whitefield, bangalore"
Bangarpet Panipuri - Cherry Chats,Street Food,50,81,"new bel road, bangalore"
Indulge Desi,North Indian,200,219,"jp nagar, bangalore"
Heaven In A Jar,Desserts,200,32,"electronic city, bangalore"
Chota Hussain,Rolls,150,0,"thippasandra, bangalore"
Khwaja Darbar,Mughlai,200,3,"hbr layout, bangalore"
Tea Time,Tea,50,213,"marathahalli, bangalore"
Tea Time,Tea,75,213,"marathahalli, bangalore"
Tea Time,Tea,125,213,"marathahalli, bangalore"
Krishnam Udupi Hotel,South Indian,250,2796,"kanakapura road, bangalore"
Five Star Chicken,Roast Chicken,150,6600,"jp nagar, bangalore"
Five Star Chicken,Roast Chicken,100,6600,"jp nagar, bangalore"
Daily Sushi,Asian,500,480,"jayanagar, bangalore"
Daily Sushi,Asian,400,480,"jayanagar, bangalore"
Daily Sushi,Asian,450,480,"jayanagar, bangalore"
Rannaghar,Bengali,300,3621,"kaggadasapura, bangalore"
Ultimate Tandoor,North Indian,250,118,"brookefield, bangalore"
Delhi Wala Paratha,North Indian,250,36,"hsr, bangalore"
Udupi Upahar,South Indian,200,3202,"kanakapura road, bangalore"
Udupi Upahar,South Indian,175,3202,"kanakapura road, bangalore"
Udupi Upahar,South Indian,50,3202,"kanakapura road, bangalore"
Mizo Kitchen,North Eastern,200,1049,"koramangala 5th block, bangalore"
Juice Junction,Juices,50,972,"wilson garden, bangalore"
Juice Junction,Juices,150,972,"wilson garden, bangalore"
Juice Junction,Juices,125,972,"wilson garden, bangalore"
Juice Junction,Juices,100,972,"wilson garden, bangalore"
PK Foods,Biryani,100,5,"sarjapur road, bangalore"
A2B - Adyar Ananda Bhavan,South Indian,250,7333,"hsr, bangalore"
A2B - Adyar Ananda Bhavan,South Indian,150,7333,"hsr, bangalore"
Chaat King,Street Food,75,755,"rr vatika, rajarajeshwari nagar, bangalore"
Sri Ram Bhojanalay,North Indian,150,624,"yeshwantpur, bangalore"
Crusto’s - Cheese Burst Pizza,Pizza,150,20,"btm, bangalore"
Crusto’s - Cheese Burst Pizza,Pizza,350,20,"btm, bangalore"
Pizzaazz By What the Ale?!,Pizza,350,31,"electronic city, bangalore"
Goli Vadapav No 1,Street Food,100,233,"koramangala 4th block, bangalore"
Gully Foods,Fast Food,150,12,"btm, bangalore"
New Shahi Kabab Roll Center,Rolls,125,319,"indiranagar, bangalore"
Magic Chef Restaurant,North Indian,250,135,"btm, bangalore"
Baskin Robbins,Ice Cream,200,11,"rajajinagar, bangalore"
Baskin Robbins,Ice Cream,150,11,"rajajinagar, bangalore"
Sicilia Point,Fast Food,500,168,"rajajinagar, bangalore"
Paratha Box by EatFit,North Indian,150,33,"vasanth nagar, bangalore"
Meat & Eat,Burger,150,707,"jp nagar, bangalore"
Hotel Chandrika,South Indian,350,1484,"cunningham road, bangalore"
CakeZone,Bakery,100,3396,"whitefield, bangalore"
Narmada Chain of Restaurants,Biryani,400,677,"kammanahalli, bangalore"
Narmada Chain of Restaurants,Biryani,250,677,"kammanahalli, bangalore"
The Biryani Life,Biryani,300,338,"koramangala 1st block, bangalore"
One For The Road,Continental,750,680,"elements mall, nagawara, bangalore"
One For The Road,Continental,700,680,"elements mall, nagawara, bangalore"
Shanthi Sagar,South Indian,350,23100,"jp nagar, bangalore"
Shanthi Sagar,South Indian,150,23100,"jp nagar, bangalore"
Shanthi Sagar,South Indian,200,23100,"jp nagar, bangalore"
Shanthi Sagar,South Indian,100,23100,"jp nagar, bangalore"
Shanthi Sagar,South Indian,175,23100,"jp nagar, bangalore"
Havmor Ice Creams,Desserts,100,7,"kalyan nagar, bangalore"
SLV Corner Restaurant,South Indian,400,11400,"153 biere street, bangalore"
Cold Stone Creamery,Ice Cream,200,168,"garuda mall, magrath road, bangalore"
Cold Stone Creamery,Ice Cream,175,168,"garuda mall, magrath road, bangalore"
Sri Udupi Sagar,South Indian,150,1095,"btm, bangalore"
Fanoos Xprss,Rolls,200,1953,"jayanagar, bangalore"
NH10,North Indian,200,68,"banashankari, bangalore"
Yumlane Pizza,Pizza,250,19,"jp nagar, bangalore"
