,restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
4109,2504,Jam's Kitchen,3.8,"Momos, Chinese, Sichuan, Fast Food, Rolls, Beverages",365,Rajajinagar,77.554883,12.9882338,https://www.zomato.com/bangalore/jams-kitchen-1-rajajinagar-bangalore/order,150
4110,517,Tibb's Frankie,3.9,Rolls,268,Shivajinagar,77.6075416,12.986391,https://www.zomato.com/bangalore/tibbs-frankie-shivajinagar-bangalore/order,100
4111,2505,Savi Ruchi,4.0,"North Indian, South Indian, Mughlai, Street Food, Chinese, Beverages",617,Bommanahalli,77.6239038,12.9089453,https://www.zomato.com/bangalore/savi-ruchi-bommanahalli-bangalore/order,150
4112,1525,ITC Sunfeast Baked Creations,4.5,"Bakery, Desserts, , Cafe, Continental, Sandwich",377,Banaswadi,77.6518539,13.0141618,https://www.zomato.com/bangalore/itc-sunfeast-baked-creations-banaswadi-bangalore/order,250
4113,2506,Kulkarni's  New Uttara Karnataka Food Speciality Stores,4.4,South Indian,1254,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/kulkarnis-new-uttara-karnataka-food-speciality-stores-jp-nagar-bangalore/order,100
4114,2507,Mumbai Spice,3.9,"North Indian, Chinese, Sichuan",2080,Malleshwaram,77.5703253,13.0027353,https://www.zomato.com/bangalore/mumbai-spice-malleshwaram/order,100
4115,277,Cafe Coffee Day,3.8,"Cafe, Fast Food, Coffee, Beverages, Desserts",481,Sahakara Nagar,77.58006135,13.0621474,https://www.zomato.com/bangalore/cafe-coffee-day-2-sahakara-nagar/order,300
4116,258,BOX8 - Desi Meals,4.1,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",12700,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/box8-desi-meals-sarjapur-road-bangalore/order,250
4117,298,Wokanaka - The Casual Chinese Pitstop,4.0,"Chinese, Asian, Seafood, Thai, Beverages",5063,Kalyan Nagar,77.6403368,13.0221416,https://www.zomato.com/bangalore/wokanaka-the-casual-chinese-pitstop-kalyan-nagar-bangalore/order,450
4118,787,Paris Panini - Gourmet Sandwiches,4.3,"French, Continental, Panini, Desserts, Beverages, Sandwich",768,Sanjay Nagar,77.6958748,12.9578658,https://www.zomato.com/bangalore/paris-panini-gourmet-sandwiches-sanjay-nagar-bangalore/order,300
4119,882,Meghana Foods,4.4,"Biryani, Andhra, North Indian, Seafood",17800,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/meghana-foods-bannerghatta-road-bangalore/order,300
4120,843,Faasos - Wraps & Rolls,4.0,"Rolls, Wraps, Fast Food",6348,Koramangala 1st Block,77.6308832,12.9275886,https://www.zomato.com/bangalore/faasos-wraps-rolls-koramangala-1st-block-bangalore/order,150
4121,2508,Parijatha Fish Land,3.4,"North Indian, Chinese, Biryani, Chettinad, South Indian, Seafood",2799,Jalahalli,77.5483803,13.0464531,https://www.zomato.com/bangalore/parijatha-fish-land-jalahalli-bangalore/order,200
4122,2509,Sunshine Restaurant,3.7,"Arabian, North Indian, Mughlai, Chinese, Lebanese, Sichuan",1781,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/sunshine-restaurant-whitefield-bangalore/order,250
4123,2510,Samruddi  Nonveg,0.0,"South Indian, Biryani",2,City Market,77.57627054,12.965718,https://www.zomato.com/bangalore/samruddi-nonveg-1-city-market-bangalore/order,100
4124,1925,AB's - Absolute Barbecues,3.7,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",845,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/abs-absolute-barbecues-whitefield/order,700
4125,2511,Donne Biriyani Hub,4.0,"Biryani, Sandwich, Rolls, Chinese, South Indian, Beverages, Sichuan",248,Domlur,77.6381958,12.9624669,https://www.zomato.com/bangalore/donne-biriyani-hub-1-domlur-bangalore/order,150
4126,2512,Hotel RK Gardenia,3.8,"South Indian, North Indian, Chinese, Sichuan",233,Bommasandra,77.6916113,12.8162443,https://www.zomato.com/bangalore/hotel-rk-gardenia-3-bommasandra-bangalore/order,300
